image_id,product_id,category,image_path
1,1,Ebay_train.txt,data/raw/stanford_online_products/bicycle_final/111085122871_0.JPG
2,1,Ebay_train.txt,data/raw/stanford_online_products/bicycle_final/111085122871_1.JPG
6,1,Ebay_train.txt,data/raw/stanford_online_products/bicycle_final/111085122871_5.JPG
7,1,Ebay_info.txt,data/raw/stanford_online_products/bicycle_final/111085122871_6.JPG
6,1,Ebay_info.txt,data/raw/stanford_online_products/bicycle_final/111085122871_5.JPG
60,10,Ebay_train.txt,data/raw/stanford_online_products/bicycle_final/111584821699_0.JPG
61,10,Ebay_train.txt,data/raw/stanford_online_products/bicycle_final/111584821699_1.JPG
592,100,Ebay_info.txt,data/raw/stanford_online_products/bicycle_final/121693474773_4.JPG
591,100,Ebay_info.txt,data/raw/stanford_online_products/bicycle_final/121693474773_3.JPG
588,100,Ebay_train.txt,data/raw/stanford_online_products/bicycle_final/121693474773_0.JPG
590,100,Ebay_info.txt,data/raw/stanford_online_products/bicycle_final/121693474773_2.JPG
6410,1000,Ebay_train.txt,data/raw/stanford_online_products/cabinet_final/151762984866_1.JPG
7061,1000,Ebay_info.txt,data/raw/stanford_online_products/bicycle_final/331546621451_2.JPG
6409,1000,Ebay_train.txt,data/raw/stanford_online_products/cabinet_final/151762984866_0.JPG
53320,10000,Ebay_train.txt,data/raw/stanford_online_products/table_final/181589444843_0.JPG
53321,10000,Ebay_train.txt,data/raw/stanford_online_products/table_final/181589444843_1.JPG
53325,10000,Ebay_train.txt,data/raw/stanford_online_products/table_final/181589444843_5.JPG
57404,10000,Ebay_info.txt,data/raw/stanford_online_products/kettle_final/360886372362_8.JPG
57400,10000,Ebay_info.txt,data/raw/stanford_online_products/kettle_final/360886372362_4.JPG
57403,10000,Ebay_info.txt,data/raw/stanford_online_products/kettle_final/360886372362_7.JPG
57411,10001,Ebay_info.txt,data/raw/stanford_online_products/kettle_final/360950643743_5.JPG
53327,10001,Ebay_train.txt,data/raw/stanford_online_products/table_final/181590645576_1.JPG
57409,10001,Ebay_info.txt,data/raw/stanford_online_products/kettle_final/360950643743_3.JPG
53329,10002,Ebay_train.txt,data/raw/stanford_online_products/table_final/181591237593_1.JPG
57414,10002,Ebay_info.txt,data/raw/stanford_online_products/kettle_final/361012987897_1.JPG
57417,10003,Ebay_info.txt,data/raw/stanford_online_products/kettle_final/361129566904_2.JPG
57416,10003,Ebay_info.txt,data/raw/stanford_online_products/kettle_final/361129566904_1.JPG
53331,10003,Ebay_train.txt,data/raw/stanford_online_products/table_final/181592002814_0.JPG
57415,10003,Ebay_info.txt,data/raw/stanford_online_products/kettle_final/361129566904_0.JPG
57421,10004,Ebay_info.txt,data/raw/stanford_online_products/kettle_final/361143265028_2.JPG
53340,10004,Ebay_train.txt,data/raw/stanford_online_products/table_final/181592792990_1.JPG
53344,10004,Ebay_train.txt,data/raw/stanford_online_products/table_final/181592792990_5.JPG
57429,10005,Ebay_info.txt,data/raw/stanford_online_products/kettle_final/361236952164_6.JPG
57428,10005,Ebay_info.txt,data/raw/stanford_online_products/kettle_final/361236952164_5.JPG
53345,10005,Ebay_train.txt,data/raw/stanford_online_products/table_final/181593086872_0.JPG
57427,10005,Ebay_info.txt,data/raw/stanford_online_products/kettle_final/361236952164_4.JPG
53349,10006,Ebay_train.txt,data/raw/stanford_online_products/table_final/181593158389_0.JPG
